title,identifier,url,date,pages,thumb_url,views,color,per_text,pen_color
"Marion Stokes Journal (June 1, 1969)",marionstokesjournal1969-06-01,http://archive.org/details/marionstokesjournal1969-06-01,date:[1969-06-01],0,https://archive.org/download/marionstokesjournal1969-06-01/__ia_thumb.jpg,4,[241 239 231],13.1,undetermined
"Marion Stokes Journal (June 16, 1969)",marionstokesjournal1969-06-16,http://archive.org/details/marionstokesjournal1969-06-16,date:[1969-06-16],0,https://archive.org/download/marionstokesjournal1969-06-16/__ia_thumb.jpg,2,[240 239 230],15.8,undetermined
"Marion Stokes Journal (July 15, 1969)",marionstokesjournal1969-07-15,http://archive.org/details/marionstokesjournal1969-07-15,date:[1969-07-15],0,https://archive.org/download/marionstokesjournal1969-07-15/__ia_thumb.jpg,2,[242 240 233],12.9,undetermined
"Marion Stokes Journal (July 22, 1969)",marionstokesjournal1969-07-22,http://archive.org/details/marionstokesjournal1969-07-22,date:[1969-07-22],0,https://archive.org/download/marionstokesjournal1969-07-22/__ia_thumb.jpg,4,[238 234 224],5.2,undetermined
"Marion Stokes Journal (August, 1969)",marionstokesjournal1969-08-00,http://archive.org/details/marionstokesjournal1969-08-00,date:[1969-08-01 TO 1969-08-31],0,https://archive.org/download/marionstokesjournal1969-08-00/__ia_thumb.jpg,4,[240 239 230],10.1,undetermined
"Marion Stokes Journal (August 3, 1969)",marionstokesjournal1969-08-03,http://archive.org/details/marionstokesjournal1969-08-03,date:[1969-08-03],0,https://archive.org/download/marionstokesjournal1969-08-03/__ia_thumb.jpg,4,[240 239 231],14.2,undetermined
"Marion Stokes Journal (August 5, 1969)",marionstokesjournal1969-08-05,http://archive.org/details/marionstokesjournal1969-08-05,date:[1969-08-05],0,https://archive.org/download/marionstokesjournal1969-08-05/__ia_thumb.jpg,2,[240 239 229],11.2,undetermined
"Marion Stokes Journal (September 10, 1969)",marionstokesjournal1969-09-10,http://archive.org/details/marionstokesjournal1969-09-10,date:[1969-09-10],0,https://archive.org/download/marionstokesjournal1969-09-10/__ia_thumb.jpg,2,[241 239 229],8.1,undetermined
"Marion Stokes Journal (September 28, 1969)",marionstokesjournal1969-09-28,http://archive.org/details/marionstokesjournal1969-09-28,date:[1969-09-28],0,https://archive.org/download/marionstokesjournal1969-09-28/__ia_thumb.jpg,2,[239 238 229],15.5,undetermined
"Marion Stokes Journal (October 8, 1969)",marionstokesjournal1969-10-08,http://archive.org/details/marionstokesjournal1969-10-08,date:[1969-10-08],0,https://archive.org/download/marionstokesjournal1969-10-08/__ia_thumb.jpg,3,[239 237 228],14.3,undetermined
"Marion Stokes Journal (October 12, 1969)",marionstokesjournal1969-10-12,http://archive.org/details/marionstokesjournal1969-10-12,date:[1969-10-12],0,https://archive.org/download/marionstokesjournal1969-10-12/__ia_thumb.jpg,2,[238 230 210],13.1,undetermined
"Marion Stokes Journal (November 1, 1969)",marionstokesjournal1969-11-01,http://archive.org/details/marionstokesjournal1969-11-01,date:[1969-11-01],0,https://archive.org/download/marionstokesjournal1969-11-01/__ia_thumb.jpg,3,[246 245 236],19.5,undetermined
"Marion Stokes Journal (November 3, 1969)",marionstokesjournal1969-11-03,http://archive.org/details/marionstokesjournal1969-11-03,date:[1969-11-03],0,https://archive.org/download/marionstokesjournal1969-11-03/__ia_thumb.jpg,4,[241 241 228],15.1,undetermined
"Marion Stokes Journal (December 7, 1969)",marionstokesjournal1969-12-07,http://archive.org/details/marionstokesjournal1969-12-07,date:[1969-12-07],0,https://archive.org/download/marionstokesjournal1969-12-07/__ia_thumb.jpg,3,[216 192 148],12.8,undetermined
"Marion Stokes Journal (January 1, 1970)",marionstokesjournal1970-01-01,http://archive.org/details/marionstokesjournal1970-01-01,date:[1970-01-01],0,https://archive.org/download/marionstokesjournal1970-01-01/__ia_thumb.jpg,3,[242 241 231],10.1,undetermined
"Marion Stokes Journal (January 13–14, 1970)",marionstokesjournal1970-01-13,http://archive.org/details/marionstokesjournal1970-01-13,date:[1970-01-13 AND 1970-01-14],0,https://archive.org/download/marionstokesjournal1970-01-13/__ia_thumb.jpg,2,[236 233 220],18.1,undetermined
"Marion Stokes Journal (January 17, 1970)",marionstokesjournal1970-01-17,http://archive.org/details/marionstokesjournal1970-01-17,date:[1970-01-17],0,https://archive.org/download/marionstokesjournal1970-01-17/__ia_thumb.jpg,3,[241 237 224],18.1,undetermined
"Marion Stokes Journal (January 20, 1970)",marionstokesjournal1970-01-20,http://archive.org/details/marionstokesjournal1970-01-20,date:[1970-01-20],0,https://archive.org/download/marionstokesjournal1970-01-20/__ia_thumb.jpg,2,[238 236 224],6.3,undetermined
"Marion Stokes Journal (January 21 and 23, 1970)",marionstokesjournal1970-01-21,http://archive.org/details/marionstokesjournal1970-01-21,date:[1970-01-21 AND 1970-01-23],0,https://archive.org/download/marionstokesjournal1970-01-21/__ia_thumb.jpg,3,[238 237 227],2.5,undetermined
"Marion Stokes Journal (January 25, 1970)",marionstokesjournal1970-01-25,http://archive.org/details/marionstokesjournal1970-01-25,date:[1970-01-25],0,https://archive.org/download/marionstokesjournal1970-01-25/__ia_thumb.jpg,3,[239 237 225],14.2,undetermined
"Marion Stokes Journal (January 27, 1970)",marionstokesjournal1970-01-27,http://archive.org/details/marionstokesjournal1970-01-27,date:[1970-01-27],0,https://archive.org/download/marionstokesjournal1970-01-27/__ia_thumb.jpg,3,[238 236 225],16.1,undetermined
"Marion Stokes Journal (January 28 and 29, 1970)",marionstokesjournal1970-01-28,http://archive.org/details/marionstokesjournal1970-01-28,date:[1970-01-28 AND 1970-01-29],0,https://archive.org/download/marionstokesjournal1970-01-28/__ia_thumb.jpg,3,[239 236 223],13.8,undetermined
"Marion Stokes Journal (January 30, 1970)",marionstokesjournal1970-01-30,http://archive.org/details/marionstokesjournal1970-01-30,date:[1970-01-30],0,https://archive.org/download/marionstokesjournal1970-01-30/__ia_thumb.jpg,3,[237 235 225],12.8,undetermined
"Marion Stokes Journal (February 2, 1970)",marionstokesjournal1970-02-02,http://archive.org/details/marionstokesjournal1970-02-02,date:[1970-02-02],0,https://archive.org/download/marionstokesjournal1970-02-02/__ia_thumb.jpg,3,[240 237 224],14.2,undetermined
"Marion Stokes Journal (February 8, 1970)",marionstokesjournal1970-02-08,http://archive.org/details/marionstokesjournal1970-02-08,date:[1970-02-08],0,https://archive.org/download/marionstokesjournal1970-02-08/__ia_thumb.jpg,3,[239 237 224],15.4,undetermined
"Marion Stokes Journal (February 10, 1970)",marionstokesjournal1970-02-10,http://archive.org/details/marionstokesjournal1970-02-10,date:[1970-02-10],0,https://archive.org/download/marionstokesjournal1970-02-10/__ia_thumb.jpg,4,[238 236 224],16.9,undetermined
"Marion Stokes Journal (February 11, 1970)",marionstokesjournal1970-02-11,http://archive.org/details/marionstokesjournal1970-02-11,date:[1970-02-11],0,https://archive.org/download/marionstokesjournal1970-02-11/__ia_thumb.jpg,3,[240 238 224],13.8,undetermined
"Marion Stokes Journal (February 15, 1970)",marionstokesjournal1970-02-15,http://archive.org/details/marionstokesjournal1970-02-15,date:[1970-02-15],0,https://archive.org/download/marionstokesjournal1970-02-15/__ia_thumb.jpg,3,[241 236 220],21.4,undetermined
"Marion Stokes Journal (March 1, 1970)",marionstokesjournal1970-03-01,http://archive.org/details/marionstokesjournal1970-03-01,date:[1970-03-01],0,https://archive.org/download/marionstokesjournal1970-03-01/__ia_thumb.jpg,2,[239 237 223],2.8,undetermined
"Marion Stokes Journal (March 4, 1970)",marionstokesjournal1970-03-04,http://archive.org/details/marionstokesjournal1970-03-04,date:[1970-03-04],0,https://archive.org/download/marionstokesjournal1970-03-04/__ia_thumb.jpg,2,[241 239 225],16.6,undetermined
"Marion Stokes Journal (March 5, 1970)",marionstokesjournal1970-03-05,http://archive.org/details/marionstokesjournal1970-03-05,date:[1970-03-05],0,https://archive.org/download/marionstokesjournal1970-03-05/__ia_thumb.jpg,3,[237 235 222],16.1,undetermined
"Marion Stokes Journal (March 23, 1970)",marionstokesjournal1970-03-23,http://archive.org/details/marionstokesjournal1970-03-23,date:[1970-03-23],0,https://archive.org/download/marionstokesjournal1970-03-23/__ia_thumb.jpg,5,[245 243 231],1.7,undetermined
"Marion Stokes Journal (March 27, 1970)",marionstokesjournal1970-03-27,http://archive.org/details/marionstokesjournal1970-03-27,date:[1970-03-27],0,https://archive.org/download/marionstokesjournal1970-03-27/__ia_thumb.jpg,3,[242 239 225],18.2,undetermined
"Marion Stokes Journal (March 30, 1970)",marionstokesjournal1970-03-30,http://archive.org/details/marionstokesjournal1970-03-30,date:[1970-03-30],0,https://archive.org/download/marionstokesjournal1970-03-30/__ia_thumb.jpg,3,[244 242 233],9.6,undetermined
"Marion Stokes Journal (April 9, 1970)",marionstokesjournal1970-04-09,http://archive.org/details/marionstokesjournal1970-04-09,date:[1970-04-09],0,https://archive.org/download/marionstokesjournal1970-04-09/__ia_thumb.jpg,6,[241 239 225],17.8,undetermined
"Marion Stokes Journal (June 14, 1970)",marionstokesjournal1970-06-14,http://archive.org/details/marionstokesjournal1970-06-14,date:[1970-06-14],0,https://archive.org/download/marionstokesjournal1970-06-14/__ia_thumb.jpg,3,[241 239 226],12.0,undetermined
"Marion Stokes Journal (June 16, 1970)",marionstokesjournal1970-06-16,http://archive.org/details/marionstokesjournal1970-06-16,date:[1970-06-16],0,https://archive.org/download/marionstokesjournal1970-06-16/__ia_thumb.jpg,5,[241 240 230],13.9,undetermined
